Time,Time (DateTime)
1730_CH9_ AutomaticStartStop,1730 Automatic Start & Stop (V)
1730_CH10_Truck_Batteries,1730 Batteries (V)
4649_Ch1_Alternator_250A,4649 Alternator (A)
4649_Ch2_BattOut_100A,4649 Battery Out (A)
4649_Ch3_Trailer_50A,4649 Trailer (A)
4649_Ch4_Inverter_100A,4649 Inverter (A)
4649_Ch5_Fridge_50A,4649 Fridge (A)
4649_Ch6_200A_APU_BatteryBank,4649 Battery Bank (A)
4649_Ch7_200A_BatterySeparator,4649 Battery Separator (A)
4649_Ch8_APU_BatteryVoltage,4649 Battery Voltage (V)
ActualEnginePercentTorque,Engine Output Torque (%)
ActualEnginePercentTorqueHiRes,HiRes Engine Output Torque (%)
AmbientAirTemperature_V,Outside Air Temperature (C)
asu_UreaTankTemp,Urea Tank Temperature (C)
BarometricPressure_BB1_X_E,Outside Air Pressure (kPa)
BoostPressure,Boost Pressure (kPa)
CruiseCtrlSetSpeed,Cruise Control Speed (km/hr)
DrvrDemandEngPercentTorque,Driver Requested Torque (%)
EngDemandPercentTorque,Engine Requested Torque (%)
EngDslPrtclateFilterIntakePress,Exhaust Back Pressure (kPa)
EngExhaustGasTemp,Temperature of Engine Byproducts (C)
EngineAirIntakeTemp_BB1_X_E,Temperature of Air Entering Vehicle (C)
EngineCoolantTemp_stat,Temperature of Engine Liquid (C)
EngineKeyPosition,Key Position
EngineOilLevel,Oil Level (%)
EngineOilPressure,Oil Pressure (kPa)
EngineOilTemperature,Oil Temperature (C)
EnginePercentLoadAtCurrentSpd,Engine Load at Current Speed (%)
EngineSpeed,Engine Speed (rpm)
EngIntakeManifold1Press,Pressure of Air Intake Manifold (kPa)
EngIntakeManifold1Temp,Temperature of Air Intake Manifold (C)
SteeringWheelAngle1,Steering Wheel Angle (radian)
TotalVehicleDistanceHighRes,Total Distance (m)
TransmissionOilTemp,Transmission Lube Temperature (C)
TransOilLevel,Transmission Lube Level (%)
TransOilPress,Transmission Lube Pressure (kPa)
tse_TurboSpeed,Turbo Speed (rpm)
VehicleSpeed,Vehicle Speed (km/hr)
VehicleWeightVP15,Vehicle Weight (kg)
WheelBasedVehicleSpeed,Vehicle Speed (Wheel-Based, km/hr)
CPU load,CPU Load (%)
UTC hour,UTC Hour
UTC minute,UTC Minute
UTC second,UTC Second
UTC month,UTC Month
UTC day,UTC Day
UTC year,UTC Year
GPS altitude,Altitude(m)
GPS speed,Speed (km/hr)
